"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"581",NA,5891,NA,6700,"CIP 763081","","",-17.65,-65.4,3087,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"582",NA,5892,NA,6701,"CIP 761398","","",-17.5333,-65.2333,3571,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"583",NA,5893,NA,6702,"CIP 760530","","",-21.5167,-64.75,1917,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"584",NA,5896,NA,6705,"CIP 760466","","",-19.9561,-64.4769,2077,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"585",NA,5897,NA,6706,"CIP 760467","","",-19.1167,-64.3333,2175,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"586",NA,5898,NA,6707,"CIP 760430","","",-18.4897,-64.1069,2017,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"587",NA,5899,NA,6708,"CIP 761065","","",-18.6764,-63.9997,2500,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"588",NA,5903,NA,6712,"CIP 762315","","",-18.7333,-63.9,455,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"589",NA,6013,NA,6822,"473166","","",-22.276703,-64.974745,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"590",NA,6016,NA,6825,"473312","","",-22.716666,-65.225043,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"591",NA,6017,NA,6826,"473363","","",-16.87053,-64.884781,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"592",NA,6018,NA,6827,"500040","","",-23.904671,-65.711975,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"593",NA,6022,NA,6831,"595508","","",-24.179688,-65.727394,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"594",NA,6023,NA,6832,"PI 218224","","",-26.216667,-65.283333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"595",NA,6025,NA,6834,"PI 265881","","",-24.116667,-65.383333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"596",NA,6027,NA,6836,"PI 275151","","",-24.45,-64.483333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"597",NA,6033,NA,6842,"PI 320311","","",-27.016667,-65.65,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"598",NA,6037,NA,6846,"PI 320316","","",-24.75,-65.466667,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"599",NA,6039,NA,6848,"PI 320317","","",-25.15,-65.716667,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"600",NA,6041,NA,6850,"PI 458355","","",-23.633333,-65.133333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"601",NA,6049,NA,6858,"PI 473178","","",-28.066667,-65.9,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"602",NA,6066,NA,6875,"PI 500044","","",-24.616667,-65.583333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"603",NA,6071,NA,6880,"PI 545904","","",-19.75,-64.55,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"604",NA,6075,NA,6884,"PI 558099","","",-23.6,-65.233333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"605",NA,6078,NA,6887,"PI 558100","","",-23.2,-64.916667,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"606",NA,6081,NA,6890,"PI 558101","","",-24.1,-65.6,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"607",NA,6084,NA,6893,"PI 565075","","",-27.316667,-66.05,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"608",NA,6088,NA,6897,"PI 595510","","",-21.4,-64.466667,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"609",NA,6092,NA,6901,"PI 597756","","",-21.45,-64.35,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
