"","V1","V2"
"85",1.44464914635681,2.58519902163652
"86",1.55445722919747,2.4716324857355
"87",1.62042624613289,2.4396864250429
"88",1.5955841998027,2.37145372258862
"89",1.64467701361524,2.38290422958525
"90",1.56724072626026,2.22793079292559
"91",1.58634723395965,2.20344604565384
"92",1.53224615155129,2.03162633137158
"93",1.61317293971749,2.05510899413444
"94",1.5852638843607,1.92420549569926
"95",1.58691335408129,1.92022973021554
"96",1.58512641546643,1.92171133779548
"97",1.59378647895238,1.93157468984153
"98",1.66946038243836,1.94167379712613
"99",1.67955822993238,1.93687853323773
"100",1.58014049314023,1.93619488585893
"101",1.61050690428836,1.8211283676755
"102",1.61318782015699,1.83523908903263
"103",1.6128494108787,1.83919226053414
"104",1.60907318538344,1.83512871897841
"105",1.61773707604319,1.84115491784948
"106",1.61404475308747,1.84507298695976
"107",1.60985845570664,1.81264177174292
"108",1.60392852872719,1.81100552066954
"109",1.59526181325769,1.81662850925141
"110",1.58299971408519,1.79890332751215
"111",1.58239140764762,1.80040438873878
"112",1.58012766383029,1.80736432115581
"113",1.56190034660482,1.79785680170737
"114",1.60277916780603,1.82274268655156
"115",1.57964751265124,1.83513947651544
"116",1.57931386798045,1.86148403367711
"117",1.6578355125971,2.09484193151605
"118",1.71395824886695,2.05094560250489
"119",1.72372691147331,2.0338466904885
"120",1.70450920087395,2.04294924082513
"121",1.72982305669082,2.03631122355158
"122",1.71676349824639,2.02905396996968
"123",1.71184669196024,2.02611229350635
"124",1.72573468155341,2.04778265603415
"125",1.70976189219447,2.06100084091815
"126",1.69727585791858,2.08398336056318
"127",1.46716529945061,1.96275798528482
"128",1.38610831301278,1.93139050166466
"129",1.41976735703478,1.85347781030425
"130",1.42239755631197,1.84794555279266
"131",1.57779388137658,1.98837007991403
"132",1.23233652994875,1.59856751346522
"133",1.44108874752188,1.68543074516346
"134",1.43164711676197,1.64918484924234
"135",1.44733031362886,1.67418388498255
"136",1.41520161164515,1.6337105691853
"137",1.38649842850537,1.58985272715244
"138",1.97212422519619,2.41982638344185
"139",2.06668218878055,2.45261325336781
"140",2.01679992299138,2.33057196797603
"141",1.96839086367601,2.20162492069974
"142",2.12787921241032,2.27669691046016
"143",1.96944236298027,2.28631007900559
"144",1.49767169890075,1.77069234396495
"145",1.75994309541671,2.56857338002282
"146",2.27565182300804,2.6182219280512
"147",2.27411473575991,2.61508401997519
"148",2.29271458847612,2.62357447016357
"149",2.26927747983171,2.54701802664368
"150",1.31441300979617,1.84061725380213
"151",1.17851619669873,1.65884476922506
"152",1.41860213895486,1.87901897239487
"153",1.50918650136823,1.94807026043586
"154",1.82063530976841,2.602424699996
"155",1.92262197168627,2.63065267117904
"156",2.04289000121589,2.6261660646901
"157",2.05895128839433,2.62108607547603
"158",2.09529664879118,2.50677544016764
"159",2.1211700712603,2.51782259547654
"160",2.1162207083817,2.6431053986783
"161",2.1593271826457,2.65209500555056
"162",2.24625334738423,2.64613371042544
"163",1.93526340543569,2.55646930152866
"164",1.82146424434534,2.21537235749602
"165",1.78877248400993,2.11030437535493
"166",1.5318667448858,2.51051403441374
"167",1.57197441003485,2.15228111275252
