"","x"
"85",2.01492408399666
"86",2.01304485746649
"87",2.0300563355879
"88",1.98351896119566
"89",2.01379062160025
"90",1.89758575959293
"91",1.89489663980675
"92",1.78193624146144
"93",1.83414096692597
"94",1.75473469002998
"95",1.75357154214841
"96",1.75341887663096
"97",1.76268058439695
"98",1.80556708978224
"99",1.80821838158505
"100",1.75816768949958
"101",1.71581763598193
"102",1.72421345459481
"103",1.72602083570642
"104",1.72210095218093
"105",1.72944599694633
"106",1.72955887002362
"107",1.71125011372478
"108",1.70746702469836
"109",1.70594516125455
"110",1.69095152079867
"111",1.6913978981932
"112",1.69374599249305
"113",1.6798785741561
"114",1.71276092717879
"115",1.70739349458334
"116",1.72039895082878
"117",1.87633872205658
"118",1.88245192568592
"119",1.87878680098091
"120",1.87372922084954
"121",1.8830671401212
"122",1.87290873410803
"123",1.86897949273329
"124",1.88675866879378
"125",1.88538136655631
"126",1.89062960924088
"127",1.71496164236771
"128",1.65874940733872
"129",1.63662258366951
"130",1.63517155455232
"131",1.78308198064531
"132",1.41545202170699
"133",1.56325974634267
"134",1.54041598300215
"135",1.56075709930571
"136",1.52445609041522
"137",1.48817557782891
"138",2.19597530431902
"139",2.25964772107418
"140",2.17368594548371
"141",2.08500789218788
"142",2.20228806143524
"143",2.12787622099293
"144",1.63418202143285
"145",2.16425823771976
"146",2.44693687552962
"147",2.44459937786755
"148",2.45814452931985
"149",2.40814775323769
"150",1.57751513179915
"151",1.4186804829619
"152",1.64881055567486
"153",1.72862838090205
"154",2.2115300048822
"155",2.27663732143266
"156",2.334528032953
"157",2.34001868193518
"158",2.30103604447941
"159",2.31949633336842
"160",2.37966305353
"161",2.40571109409813
"162",2.44619352890484
"163",2.24586635348217
"164",2.01841830092068
"165",1.94953842968243
"166",2.02119038964977
"167",1.86212776139369
