"","x"
"101",1.00738548846817
"102",1.00642952586302
"103",1.01491951454005
"104",0.991603863257949
"105",1.0066745079055
"106",0.948347646315677
"107",0.946901021478817
"108",0.890020619412559
"109",0.915179830752213
"110",0.866247625090216
"111",0.865451112943805
"112",0.862155688242727
"113",0.858108117830543
"114",0.81388894478725
"115",0.81353505146252
"116",0.793335971589494
"117",0.853989544314262
"118",0.847181991964651
"119",0.871813738886153
"120",0.900800803481038
"121",0.902683735090279
"122",0.872947697785225
"123",0.855319231363666
"124",0.860309037310322
"125",0.861456959916111
"126",0.860281247480275
"127",0.864108528005583
"128",0.864290157306461
"129",0.853119310251893
"130",0.851450801395175
"131",0.851190335889038
"132",0.844684497002816
"133",0.845113694522257
"134",0.846447497155302
"135",0.839431099186183
"136",0.853523858698629
"137",0.849617530377151
"138",0.8142512275799
"139",0.809871345776138
"140",0.805388972059913
"141",0.796640610226253
"142",0.805057995734128
"143",0.80776746070236
"144",0.830438053608516
"145",0.849486579844729
"146",0.836297853035159
"147",0.938742667303449
"148",0.947492752140353
"149",0.949598253560323
"150",0.945541888801824
"151",0.956464563597871
"152",0.970930822431189
"153",0.974184229468291
"154",0.986207572557348
"155",1.08493399965546
"156",0.95681793901725
"157",0.947911307146492
"158",0.94866116978112
"159",0.856836309926749
"160",0.828937263046552
"161",0.818116722299766
"162",0.817424274092008
"163",0.891475104772197
"164",0.707684727262414
"165",0.781611510780175
"166",0.770195109265666
"167",0.780370468072712
"168",0.762216689436082
"169",0.744083998746858
"170",1.09791464456117
"171",1.12978528910168
"172",1.08682832868811
"173",1.04249980126202
"174",1.10114276247642
"175",1.06392293055645
"176",0.817076013075428
"177",1.08199705937714
"178",1.22346084685362
"179",1.2222935844867
"180",1.22906661490322
"181",1.2040720886632
"182",0.78874195093885
"183",0.709332962892188
"184",0.824396973213132
"185",0.86430888261101
"186",1.10572521102059
"187",1.13829723618821
"188",1.16725496049232
"189",1.17000192371886
"190",1.1505168033077
"191",1.15974717512627
"192",1.18982800799436
"193",1.20285351618401
"194",1.22309612026099
"195",1.12292508357306
"196",1.00920737242636
"197",0.974768429129693
"198",1.01057315838481
"199",0.931060177678665
