"","x"
"101",2.02466627108521
"102",2.02486765833346
"103",2.04388352716226
"104",2.00332279305258
"105",2.04188995424503
"106",1.95424608419
"107",1.96454572893677
"108",1.90251507158089
"109",2.07474505650089
"110",2.28854377308903
"111",2.29602616985892
"112",2.4077411021883
"113",2.51386672938566
"114",3.06507224509427
"115",2.94337085489711
"116",3.09263658790324
"117",3.12874300584636
"118",3.17199817619424
"119",2.19098500999523
"120",1.89470918482065
"121",1.87230546174419
"122",2.03404279509999
"123",1.99330676695172
"124",1.91684629684462
"125",1.89248280628483
"126",1.80452823084699
"127",1.79529004875712
"128",1.78198779587167
"129",2.00786399101009
"130",1.97767940130219
"131",1.9169156240558
"132",1.78461610085335
"133",1.76067650272879
"134",1.74411378894181
"135",1.74003452941683
"136",2.09191543172721
"137",2.33502362272505
"138",3.84220255208197
"139",3.99254760434182
"140",3.93443188993825
"141",4.53351823525376
"142",3.73420823760668
"143",4.29955596296235
"144",3.38787426023303
"145",2.14109089880783
"146",2.45418917538956
"147",2.0700151084963
"148",2.02734093264204
"149",2.05450086456416
"150",2.02314046999107
"151",2.11499089997803
"152",2.36730112576794
"153",2.43543771282218
"154",2.66376256892273
"155",4.05030095619132
"156",2.09550108791031
"157",2.00608288883175
"158",1.96799801944815
"159",1.79698201731754
"160",1.71441801437272
"161",1.66138346416262
"162",1.65572441778554
"163",1.79146656274942
"164",1.42070576333248
"165",1.56559654060551
"166",1.54205537372951
"167",1.56178555959434
"168",1.52590122365138
"169",1.48865791380651
"170",2.20526623682682
"171",2.26455631430579
"172",2.17554954486267
"173",2.08553536267682
"174",2.20244945755922
"175",2.12980801715295
"176",1.63609061825617
"177",2.18106410134184
"178",2.44790289338473
"179",2.44537622859327
"180",2.45886351623874
"181",2.40837528811876
"182",1.57950228860874
"183",1.41960675472632
"184",1.64986740051863
"185",1.72930385557108
"186",2.21659385317706
"187",2.27936380263844
"188",2.33568049570677
"189",2.3409625995395
"190",2.30119116552526
"191",2.31962251883561
"192",2.3801108515848
"193",2.4059695415824
"194",2.44627550857825
"195",2.24689628844223
"196",2.01864457317236
"197",1.94963841917503
"198",2.02399474264951
"199",1.8625990067539
