BRAHMS,MASTER,gbifID,SarkID,ACCESSION,DETBY,DETDATE,LATDEC,LONGDEC,ALT,SP1,Species,roots,basisOfRecord,Ploidy,Source,countryCode,COUNTRY
,53,,53,CIP 761852,,,-10.8558,-75.91,4179,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,54,,54,CIP 761853,,,-10.8558,-75.91,4179,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,55,,55,CIP 762250,,,-10.8558,-75.91,4179,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,56,,56,CIP 761861,,,-11.52,-75.8992,3712,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,57,,57,CIP 761225,,,-11.6053,-75.8567,3600,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,58,,58,CIP 761228,,,-11.6053,-75.8567,3600,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,59,,59,CIP 761490,,,-11.6053,-75.8567,3700,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,60,,60,CIP 761313,,,-11.7244,-75.8217,3950,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,61,,61,CIP 761307,,,-10.7661,-75.7953,4000,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,62,,62,CIP 761856,,,-10.7661,-75.7953,4200,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,63,,63,CIP 765660,,,-10.7661,-75.7953,4001,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,64,,64,CIP 760767,,,-11.6664,-75.6547,3378,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,65,,65,CIP 761025,,,-10.7556,-75.6383,3126,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,66,,66,CIP 760772,,,-11.7758,-75.4967,3373,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,67,,67,CIP 761522,,,-12.7878,-74.9733,3681,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,68,,68,CIP 765781,,,-13.4083,-74.9388,4077,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,69,,69,CIP 765782,,,-13.4083,-74.9388,4077,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,70,,70,CIP 761537,,,-13.4703,-74.8625,3810,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,71,,71,CIP 761525,,,-13.1033,-74.7381,4100,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,72,,72,CIP 761536,,,-13.3686,-74.6992,4736,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,73,,73,CIP 764211,,,-9.1723,-74.3568,NA,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,74,,74,CIP 761024,,,-14.4872,-74.3044,4000,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,75,,75,CIP 761227,,,-14.4872,-74.3044,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,76,,76,CIP 761832,,,-14.4872,-74.3044,3800,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,77,,77,CIP 762043,,,-14.4872,-74.3044,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,78,,78,CIP 762044,,,-14.4872,-74.3044,3950,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,79,,79,CIP 761158,,,-14.6217,-74.2336,3291,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,80,,80,CIP 763414,,,-13.3694,-74.1914,3724,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,81,,81,CIP 761149,,,-13.3694,-74.1656,3900,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,82,,82,CIP 761150,,,-13.3694,-74.1656,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,83,,83,CIP 761151,,,-13.3694,-74.1656,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,84,,84,CIP 761826,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,85,,85,CIP 761828,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,86,,86,CIP 761829,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,87,,87,CIP 762036,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,88,,88,CIP 762037,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,89,,89,CIP 762038,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,90,,90,CIP 762039,,,-14.6908,-74.1258,3242,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,91,,91,CIP 765785,,,-13.353,-74.103,4208,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,92,,92,CIP 761823,,,-14.2333,-74.0414,3178,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,93,,93,CIP 761821,,,-14.6753,-74.0169,4200,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,94,,94,CIP 761822,,,-14.6753,-74.0169,4200,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,95,,95,CIP 762030,,,-14.6753,-74.0169,4100,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,96,,96,CIP 762031,,,-14.6753,-74.0169,4120,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,97,,97,CIP 762032,,,-14.6753,-74.0169,3884,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,98,,98,CIP 762033,,,-14.6753,-74.0169,3884,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,99,,99,CIP 762035,,,-14.2922,-73.9678,3307,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,100,,100,CIP 761824,,,-13.5278,-73.8181,2235,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,101,,101,CIP 761825,,,-13.5278,-73.8181,2235,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,102,,102,CIP 762034,,,-13.5278,-73.8181,2235,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,103,,103,CIP 761143,,,-15.2819,-73.5978,3400,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,104,,104,CIP 761144,,,-15.2819,-73.5978,3400,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,105,,105,CIP 761145,,,-15.2819,-73.5978,3400,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,106,,106,CIP 764243,,,-14.5461,-73.5278,NA,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,107,,107,CIP 761139,,,-14.2961,-73.4786,3820,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,108,,108,CIP 761142,,,-13.7906,-73.4719,3890,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,109,,109,CIP 764209,,,-14.2233,-73.0153,NA,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,110,,110,CIP 760008,,,-13.5011,-72.8972,3051,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,111,,111,CIP 765882,,,-13.94,-72.7897,4251,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,112,,112,CIP 761135,,,-14.5181,-72.7503,3900,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,113,,113,CIP 765887,,,-13.9175,-72.7158,4430,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,114,,114,CIP 762009,,,-13.1083,-72.5928,1588,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,115,,115,CIP 761727,,,-13.7486,-72.2736,3861,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,116,,116,CIP 761553,,,-14.2839,-72.0406,3551,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,117,,117,CIP 761986,,,-13.0819,-72.0247,4100,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,118,,118,CIP 761987,,,-13.0819,-72.0247,4100,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,119,,119,CIP 761134,,,-14.6736,-72.0231,3924,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,120,,120,CIP 761803,,,-13.2639,-71.9553,4200,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,121,,121,CIP 761978,,,-13.2639,-71.9553,4200,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,122,,122,CIP 761979,,,-13.2639,-71.9553,4150,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,123,,123,CIP 761980,,,-13.2639,-71.9553,4150,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,124,,124,CIP 761981,,,-13.2639,-71.9553,4080,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,125,,125,CIP 763358,,,-13.4208,-71.8511,2966,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,126,,126,CIP 765745,,,-13.3534,-71.8279,4069,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,127,,127,CIP 765741,,,-13.3541,-71.8257,4054,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,128,,128,CIP 761125,,,-13.3592,-71.8189,3831,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,129,,129,CIP 765748,,,-13.3403,-71.817,4182,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,130,,130,CIP 765753,,,-13.4178,-71.7702,4339,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,131,,131,CIP 765754,,,-13.4199,-71.7641,4342,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,132,,132,CIP 765905,,,-13.4192,-71.7512,4277,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,133,,133,CIP 761955,,,-15.5786,-71.7192,4350,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,134,,134,CIP 762440,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,135,,135,CIP 762443,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,136,,136,CIP 762444,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,137,,137,CIP 762445,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,138,,138,CIP 762446,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
