"","bio1_annMeanT","bio2_MeanDiTRange","bio3_Isotherm","bio4_TempSeas","bio5_MaxWarmestM","bio6_MinColdestM","bio7_AnnTempRange","bio12_AnnMeanPrecip","bio13_MaxWettestM","bio14_MinDriestM","bio15_PrecipSeas","cmimean","cmirange","gsl","swb","cmimax","cmimin","gdd5","CCmean","CCSD"
"bio1_annMeanT",1,-0.303600948897112,0.0142251879990882,-0.149119483756932,0.806181494603762,0.869949377428148,-0.22056233158544,0.159150296260503,0.0548255127072867,0.274043863328282,-0.259734685668421,0.0923376804875621,-0.0135336754861906,-0.090939402655936,-0.0455681657512149,0.0257754554268689,0.0923245857775343,0.997129387455144,0.143826854803248,-0.328530304690586
"bio2_MeanDiTRange",-0.303600948897112,1,-0.403186114790333,0.56387268148622,0.193697792069449,-0.675739856901023,0.859444196467663,-0.514154661954405,-0.380119390373161,-0.572302828835508,0.632606347467277,-0.532173509422718,-0.260725984563163,-0.315798160277647,-0.428051024864902,-0.441896513768441,-0.606278807809842,-0.299992657953274,-0.593242080505377,0.583457163935507
"bio3_Isotherm",0.0142251879990882,-0.403186114790333,1,-0.900706189423385,-0.457177075673533,0.381611516695513,-0.777244144862823,0.417299783354299,0.349453897074309,0.409907501604449,-0.379370094010363,0.408961431241655,0.125155724536257,0.537499902606208,0.47754161717288,0.319263634738502,0.563239410309477,-0.005451123879868,0.717743252523237,-0.317038777928227
"bio4_TempSeas",-0.149119483756932,0.56387268148622,-0.900706189423385,1,0.397670758752186,-0.547246710989084,0.898119317055876,-0.404356286460639,-0.351317889332944,-0.360297321248214,0.328847855142275,-0.386011278362892,-0.17340225586091,-0.483286554631291,-0.411164132539961,-0.330029237646818,-0.495039732440935,-0.123758806025657,-0.666900510655182,0.252645094377109
"bio5_MaxWarmestM",0.806181494603762,0.193697792069449,-0.457177075673533,0.397670758752186,1,0.443614602811992,0.381775681059919,-0.137431076442922,-0.177247972598548,-0.0331528616794511,0.0444644804078519,-0.203803065215131,-0.0928249484445097,-0.374963877789375,-0.341468535547283,-0.198276627401997,-0.319860725582492,0.816742060786697,-0.274631723377096,-0.0728640361697996
"bio6_MinColdestM",0.869949377428148,-0.675739856901023,0.381611516695513,-0.547246710989084,0.443614602811992,1,-0.658972392903587,0.377716392051467,0.243294566942586,0.473901632013988,-0.475710323610099,0.326874179258674,0.126192310195439,0.139042841791854,0.187037139097172,0.241176620093823,0.362820437678304,0.861453005777594,0.467423589154423,-0.506006288779266
"bio7_AnnTempRange",-0.22056233158544,0.859444196467663,-0.777244144862823,0.898119317055876,0.381775681059919,-0.658972392903587,1,-0.504874462626224,-0.399664433657322,-0.516551363962905,0.527910122600702,-0.508145607722803,-0.208045165235973,-0.458087992158053,-0.479472166509499,-0.415128913502077,-0.642619935241191,-0.202937009513881,-0.712536230945375,0.460683757306035
"bio12_AnnMeanPrecip",0.159150296260503,-0.514154661954405,0.417299783354299,-0.404356286460639,-0.137431076442922,0.377716392051467,-0.504874462626224,1,0.938055064272837,0.880846602473758,-0.622137609837219,0.993929306399633,0.780020777988147,0.720491698705234,0.861996198099266,0.940086818520263,0.843471982015162,0.14878542845932,0.790616255797665,-0.554686604566473
"bio13_MaxWettestM",0.0548255127072867,-0.380119390373161,0.349453897074309,-0.351317889332944,-0.177247972598548,0.243294566942586,-0.399664433657322,0.938055064272837,1,0.68602666159882,-0.376442790640549,0.937110356745494,0.915281066554853,0.748506020238023,0.834048395718347,0.988030707298294,0.697348391757832,0.0468353844205628,0.733550855267571,-0.374959121338112
"bio14_MinDriestM",0.274043863328282,-0.572302828835508,0.409907501604449,-0.360297321248214,-0.0331528616794511,0.473901632013988,-0.516551363962905,0.880846602473758,0.68602666159882,1,-0.796118552004025,0.875873438133299,0.453660400844507,0.556672318571484,0.740919042253097,0.70772488473255,0.899553420602251,0.264214347372504,0.706331031877437,-0.694419349783714
