"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,3865,NA,4566,"95006","","",9.441667,-68.90833,1450,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3866,NA,4567,"94881","","",5.55,-74,0,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3867,NA,4568,"84305","","",-0.535,-78.9839,2459,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3868,NA,4569,"82816","","",5.5,-74.6667,3850,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3869,NA,4570,"91873","","",0.116667,-77.95,3300,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3870,NA,4571,"92311","","",2.45,-75.16667,2400,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3871,NA,4572,"94413","","",-3.883333,-79.35,2900,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3874,NA,4575,"91747","","",2.283333,-76.23333,2920,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3875,NA,4576,"81273","","",-2.8,-79.4667,3200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3876,NA,4577,"94885","","",2.783333,-76.01667,0,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3877,NA,4578,"91853","","",4.633333,-75.55,3550,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3879,NA,4580,"81263","","",-0.8,-78.9,2840,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3880,NA,4581,"92248","","",-0.016667,-77.83333,3100,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3881,NA,4582,"94889","","",0.85,-78.06667,2700,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3882,NA,4583,"91863","","",10.19626,-72.94011,2850,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3883,NA,4584,"91790","","",8.316667,-71.75,2500,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3885,NA,4586,"93920","","",-2.533333,-78.78333,3410,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3886,NA,4587,"94399","","",5.583333,-73.88333,2850,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3887,NA,4588,"95344","","",10.18333,-73.28333,2600,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3888,NA,4589,"94869","","",2.383333,-76.06667,2000,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3892,NA,4593,"77873","","",-0.6,-77.65,2900,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3893,NA,4594,"82635","","",2.5,-76.3833,3200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3894,NA,4595,"139915","","",10.40431,-67.28899,0,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3895,NA,4596,"83950","","",6.66667,-76.3333,3115,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3898,NA,4599,"94777","","",9.24666,-70.26778,3400,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3899,NA,4600,"82626","","",-1.96667,-78.3667,3750,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3900,NA,4601,"92153","","",7.26,-71.97,2500,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3901,NA,4602,"91875","","",-0.633333,-78.55,3200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3902,NA,4603,"94952","","",3.9,-75.75,2800,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3904,NA,4605,"77883","","",0.683333,-77.6667,3150,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3905,NA,4606,"94751","","",-1.183333,-78.2,3400,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3906,NA,4607,"91848","","",2.2,-76.48333,2950,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3907,NA,4608,"83135","","",0.9167,-77.5,3240,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3909,NA,4610,"106994","","",0.07,-77.57,3420,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3910,NA,4611,"92544","","",7.4,-72.41667,3100,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3911,NA,4612,"91859","","",3.33,-76.08,3505,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3912,NA,4613,"94950","","",5.083333,-76,3820,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3913,NA,4614,"83169","","",2.5,-76.7167,2800,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3915,NA,4616,"76502","","",-0.623611,-77.84028,2250,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3919,NA,4620,"95004","","",11.16667,-69.58333,1300,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3920,NA,4621,"94743","","",5.666667,-73.75,2200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3921,NA,4622,"94772","","",-1.233333,-77.88333,3000,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3922,NA,4623,"94949","","",4.216667,-73.8,2000,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3923,NA,4624,"91854","","",2.533333,-76.95,2400,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3925,NA,4626,"84345","","",4.96667,-75.75,2600,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3926,NA,4627,"83075","","",-1.71667,-79.15,2900,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3929,NA,4630,"92412","","",6.5,-76.11667,3455,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3930,NA,4631,"91537","","",2.383333,-75.88333,3000,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3931,NA,4632,"81266","","",-1.38333,-78.5333,3100,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3932,NA,4633,"94415","","",4.883333,-74.3,2800,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3935,NA,4636,"83098","","",8.76667,-71.1,3440,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3937,NA,4638,"94730","","",6.05,-73.63333,3000,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3938,NA,4639,"14683","","",9.226196,-70.16472,2490,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3939,NA,4640,"95116","","",5.155556,-75.04027,3250,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3940,NA,4641,"94304","","",-1.816667,-78.98333,2900,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3941,NA,4642,"94380","","",1.116667,-77.66667,3200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3942,NA,4643,"94465","","",-5.25,-79.45,2800,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3943,NA,4644,"92462","","",5.083333,-74.01667,3400,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3944,NA,4645,"95155","","",-3.516667,-79.63333,3200,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3945,NA,4646,"82885","","",5.11667,-75.2833,3660,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3946,NA,4647,"83096","","",4.66568,-75.42803,3485,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3947,NA,4648,"94769","","",4.7,-73.71667,2830,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3949,NA,4650,"94384","","",5,-75.37,3370,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3950,NA,4651,"93924","","",5.05,-75.48333,2100,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3951,NA,4652,"95040","","",-2.6,-78.56667,2925,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3952,NA,4653,"92369","","",-3.983,-79.012,2770,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3953,NA,4654,"80898","","",7.3781,-72.6525,3330,"colombianum","colombianum","tuberous","wild",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3956,NA,4657,"14626","","",5.037833,-74.561056,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3960,NA,4661,"423303","","",7.833333,-72.766667,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3963,NA,4664,"423344","","",2.233333,-75.516667,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3964,NA,4665,"423345","","",1.966667,-75.3,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3968,NA,4669,"423351","","",3.35,-75.933333,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3970,NA,4671,"423356","","",2.5,-75.783333,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3975,NA,4676,"473475","","",-4.038585,-79.790047,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3978,NA,4679,"498228","","",0.066666,-78.383333,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3980,NA,4681,"570614","","",3.956884,-76.95718,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3981,NA,4682,"570619","","",9.26815,-73.521477,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3982,NA,4683,"570626","","",2.135,-76.937413,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3986,NA,4687,"597670","","",1.829256,-76.765938,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,3990,NA,4691,"COL000036276","","",10.366667,-72.8,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4001,NA,4702,"COL000036287","","",1.25,-75.866667,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4007,NA,4708,"COL000036293","","",0.166667,-77.066667,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4028,NA,4729,"PI 473474","","",-3.016667,-79.033333,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4030,NA,4731,"PI 498149","","",1.1,-77.4,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4045,NA,4746,"PI 583325","","",8.116667,-71.9,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4049,NA,4750,"PI473407","","",4.067,-75.167,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4060,NA,4761,"PI567822","","",3.35,-76.517,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","","","5.34","FCM","Petota","3"
NA,4584,NA,5308,"88420","","",14.0548,-91.0191,3180,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4558,NA,5282,"89347","","",14.47563,-90.73304,2250,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4534,NA,5258,"90366","","",15.48678,-91.51723,3595,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4586,NA,5310,"90770","","",16.1,-96.15,3500,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4569,NA,5293,"89328","","",16.9833,-97,2700,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4564,NA,5288,"90192","","",17.2666,-96.4,2950,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4550,NA,5274,"89647","","",17.28,-96.3,2870,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4637,NA,5361,"PI 545763","","",17.466667,-96.5,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4547,NA,5271,"89444","","",18.4,-99.15,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4539,NA,5263,"89306","","",18.58,-97.15,3000,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4527,NA,5251,"CIP 760660","","",18.6333,-98.9333,1212,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4587,NA,5311,"89045","","",18.7401,-97.3813,2550,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4544,NA,5268,"89422","","",19.0166,-97.2666,3600,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4588,NA,5312,"90434","","",19.04,-100.05,1900,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4613,NA,5337,"PI 161366","","",19.05,-99.25,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4560,NA,5284,"89654","","",19.07,-99.49,3430,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4515,NA,5239,"CIP 760664","","",19.1014,-99.7694,4466,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4536,NA,5260,"8174","","",19.16667,-99.88333,2830,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4535,NA,5259,"82593","","",19.19,-99.0236,2900,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4511,NA,5235,"CIP 761047","","",19.1972,-101.887,2840,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4567,NA,5291,"89448","","",19.21,-98.4,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4622,NA,5346,"PI 205515","","",19.233333,-98.033333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4517,NA,5241,"CIP 766050","","",19.28053333,-99.65638333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4533,NA,5257,"89662","","",19.29,-97.55,2930,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4561,NA,5285,"90470","","",19.3166,-97.9333,3340,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4556,NA,5280,"90596","","",19.32,-98.49,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4590,NA,5314,"186550","","",19.32,-97.74,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4572,NA,5296,"82591","","",19.3265,-98.7253,3450,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4624,NA,5348,"PI 230587","","",19.333333,-99.333333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4541,NA,5265,"88664","","",19.3684,-98.593,2743,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4551,NA,5275,"89451","","",19.41,-100.51,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4568,NA,5292,"90691","","",19.41,-102.3,3100,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4582,NA,5306,"89307","","",19.41,-98.13,2750,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4513,NA,5237,"CIP 761046","","",19.4333,-100.3667,2237,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4548,NA,5272,"88400","","",19.4349,-100.176,2800,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4562,NA,5286,"18554","","",19.49193,-97.14809,3506,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4599,NA,5323,"PI 161151","","",19.533333,-98.816667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4573,NA,5297,"89193","","",19.57,-99.435,3350,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4531,NA,5255,"CIP 763341","","",19.6167,-97.0333,2181,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4577,NA,5301,"161655","","",19.63389,-101.3267,2100,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4615,NA,5339,"PI 161715","","",19.65,-100.8,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4559,NA,5283,"89761","","",19.6547,-100.268,2975,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4631,NA,5355,"PI 365380","","",19.683333,-99.716667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4545,NA,5269,"90393","","",19.70594,-101.195,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4578,NA,5302,"89206","","",19.75,-100.66,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4555,NA,5279,"89090","","",19.96,-99.06,3000,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4554,NA,5278,"89022","","",20.08,-98.4,2800,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4566,NA,5290,"88675","","",20.09961,-98.63349,2900,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4537,NA,5261,"82595","","",20.2171,-98.7509,2750,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4574,NA,5298,"90516","","",20.3,-97.9666,950,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4553,NA,5277,"89690","","",20.36,-99.29,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4549,NA,5273,"89878","","",21.463,-102.3855,2400,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4565,NA,5289,"89805","","",21.9875,-102.496,2850,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4510,NA,5234,"CIP 766054","","",23.17901667,-102.8979167,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4563,NA,5287,"88908","","",23.58647,-105.8348,1950,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4580,NA,5304,"89723","","",24.02,-104.41,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4636,NA,5360,"PI 498299","","",24.033333,-104.683333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4546,NA,5270,"90538","","",24.145,-105.92,2100,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4552,NA,5276,"89724","","",24.15,-104.23,2800,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4585,NA,5309,"89898","","",24.2456,-105.3516,2580,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4570,NA,5294,"90751","","",24.83,-105.33,0,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4571,NA,5295,"88763","","",25.28,-105.15,2850,"demissum","demissum","tuberous","wild",72,"SŠrkinen","","","4.75","FCM","Petota","4 South"
NA,4639,NA,5363,"CIP 761075","","",-19.0431,-65.2592,2796,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4640,NA,5364,"CIP 760253","","",-17.5667,-65.2333,2600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4642,NA,5366,"CIP 762325","","",-17.845,-64.4289,1600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4643,NA,5367,"77404","","",-18.00697,-65.14799,2530,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4644,NA,5368,"77405","","",-17.8167,-65.2,2600,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4645,NA,5369,"80135","","",-19.33898,-64.32983,2124,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4646,NA,5370,"84336","","",-18.10024,-65.66976,2050,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4647,NA,5371,"85539","","",-18.14277,-65.22737,2400,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4648,NA,5372,"85608","","",-18.48005,-64.0777,2100,"doddsii","doddsii","tuberous","wild",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4649,NA,5373,"PI 545854","","",-17.733333,-65.1,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","","","1.71","FCM","Petota","4 South"
NA,4654,NA,5378,"CIP 762998","","",-9.6472,-77.8061,3933,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4656,NA,5380,"CIP 763457","","",-9.155,-77.5644,4000,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4664,NA,5388,"CIP 763618","","",-9.9111,-77.3172,4100,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4668,NA,5392,"CIP 765954","","",-9.6833,-77.2333,4182,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4674,NA,5398,"CIP 761043","","",-9.4564,-77.0772,4140,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4676,NA,5400,"CIP 761439","","",-9.1,-77.0158,3257,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4677,NA,5401,"CIP 763020","","",-9.5367,-76.8231,2850,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4678,NA,5402,"82005","","",-9.25,-76.5,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4679,NA,5403,"71007","","",-9.214887,-77.20032,3900,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4682,NA,5406,"70998","","",-9,-77.11,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4683,NA,5407,"92938","","",-9.233333,-77.66667,4000,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4684,NA,5408,"91885","","",-9.5,-75.83333,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
NA,4686,NA,5410,"71261","","",-8.3417,-77.43049,3955,"dolichocremastrum","dolichocremastrum","tuberous","wild",24,"SŠrkinen","","","1.82","FCM","Petota","4 North"
