"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,45,NA,45,"CIP 762282","","",-11.5858,-76.0625,4231,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,46,NA,46,"CIP 764012","","",-10.9183,-76.0503,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,51,NA,51,"CIP 762283","","",-11.4558,-75.955,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,53,NA,53,"CIP 761852","","",-10.8558,-75.91,4179,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,57,NA,57,"CIP 761225","","",-11.6053,-75.8567,3600,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,61,NA,61,"CIP 761307","","",-10.7661,-75.7953,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,65,NA,65,"CIP 761025","","",-10.7556,-75.6383,3126,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,67,NA,67,"CIP 761522","","",-12.7878,-74.9733,3681,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,70,NA,70,"CIP 761537","","",-13.4703,-74.8625,3810,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,71,NA,71,"CIP 761525","","",-13.1033,-74.7381,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,73,NA,73,"CIP 764211","","",-9.1723,-74.3568,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,74,NA,74,"CIP 761024","","",-14.4872,-74.3044,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,80,NA,80,"CIP 763414","","",-13.3694,-74.1914,3724,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
