"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio12","bio13","bio14","bio15","cmimax","cmimean","cmimin","cmirange","gsl","swb","gdd5","CCmean","CCSD","gsMono","range.bio1","range.bio2","range.bio3","range.bio4","range.bio5","range.bio6","range.bio7","range.bio12","range.bio13","range.bio14","range.bio15","range.cmimax","range.cmimean","range.cmimin","range.gdd5","range.cmirange","range.CCmean","range.CCSD","range.gsl","range.swb","Specimens"
NA,5255,NA,6046,"90642","","",32.7829,-108.267,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",13.15,13.5,0.415,7.269,29.85,-2.54999999999996,32.4,412,79.6,12,62.8,-8.4,-73.9,-155.1,146.7,127,-889,3107.2,35.26,12.07,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5256,NA,6047,"88874","","",32.2935,-108.3043,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",16.45,12.6,0.394,7.565,32.65,0.550000000000038,32.1,332,62.3,8.3,62.4,-22.3,-102.3,-189.8,167.6,102,-1226,4209.6,25.24,6.08,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5257,NA,6048,"91061","","",35.16,-112.0424,2120,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.95000000000004,12.8,0.391,7.662,27.95,-4.74999999999996,32.7,553,76.8,9.7,40.4,23.1,-54.9,-167.9,190.9,194,-685,2271.7,41.6,11.41,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5258,NA,6049,"89064","","",37.1002,-104.3,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.75000000000004,14.5,0.411,8.097,28.95,-6.34999999999996,35.3,431,74.4,13,54.1,-24.9,-74.7,-132.3,107.4,122,-899,2315.4,38.67,6.03,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5259,NA,6050,"82717","","",33.1617,-108.354,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.55000000000004,13.7,0.427,7.136,26.25,-5.94999999999996,32.2,583,117.1,18,64.2,6.9,-55.3,-143.4,150.3,185,-665,2137.2,41.93,15.31,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5260,NA,6051,"91070","","",35.4109,-105.5744,2100,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.15000000000004,12.5,0.388,7.673,26.75,-5.54999999999996,32.3,554,99.8,22.4,54.8,-1.3,-46.3,-108.9,107.6,169,-560,2134,37.88,7.97,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5261,NA,6052,"82580","","",30.5061,-109.94,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",19.25,14.2,0.449,6.383,35.35,3.75000000000004,31.6,496,135.5,5.4,93.3,-19.8,-78.8,-175.1,155.3,115,-947,5207.8,27.83,8.96,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5262,NA,6053,"91050","","",34.4518,-106.1424,1980,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",11.45,12.4,0.38,7.875,28.45,-4.14999999999996,32.6,418,83.3,16.1,62.2,-18.7,-81.1,-159.3,140.6,125,-972,2723.8,34.52,7.85,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5263,NA,6054,"88480","","",30.3825,-104.1038,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",16.05,12.8,0.436,6.414,30.95,1.55000000000004,29.4,436,77.6,12.7,63.5,-42.1,-87.5,-148.4,106.3,102,-1047,4030.7,38.61,13.17,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5264,NA,6055,"90781","","",34.0841,-107.5042,2300,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.95,12.6,0.404,7.217,27.25,-4.04999999999996,31.3,381,81.7,15,75.3,-29.3,-79.8,-156.9,127.6,103,-954,2504,37,11.35,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5265,NA,6056,"90633","","",35.1518,-111.3326,2073,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",12.05,12.2,0.371,7.925,29.75,-3.14999999999996,32.9,384,65,9.4,46.9,-13.4,-86.6,-192,178.5,148,-1042,2850.4,33.71,11.69,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5266,NA,6057,"88500","","",32.051,-109.2239,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",17.25,13.4,0.417,7.168,33.65,1.55000000000004,32.1,421,88.8,9.3,72.3,-20.5,-96.8,-188.9,168.4,115,-1163,4494.6,30.59,10.5,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5267,NA,6058,"90772","","",36.1955,-105.3431,2366,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",4.65000000000004,13.1,0.386,7.76,22.85,-11.05,33.9,543,92.6,23.3,49,-6.9,-52.6,-109.4,102.6,175,-636,1220.8,52.2,11.74,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5268,NA,6059,"90769","","",35.312,-104.5017,1768,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",13.95,13.8,0.398,8.165,32.15,-2.44999999999996,34.6,437,76.5,13.1,55.9,-31.8,-86.2,-141.6,109.7,110,-1035,3444.6,29.35,4.7,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5269,NA,6060,"88496","","",31.5416,-109.1654,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",17.25,13.5,0.429,6.853,33.35,1.95000000000004,31.4,358,73.5,7.4,69.3,-24.7,-95.2,-183.3,158.5,97,-1142,4485,32.29,13.1,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5270,NA,6061,"90780","","",37.422,-109.3931,1800,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",13.25,13.3,0.341,9.502,33.55,-5.34999999999996,38.9,261,28.1,7,26,-7.8,-85.2,-178.9,171.2,109,-1025,3395.3,28.49,8.32,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5271,NA,6062,"88598","","",34.554,-110.264,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",12.75,13.1,0.391,7.816,30.75,-2.74999999999996,33.5,375,81.3,11.6,67.1,-15.3,-82.7,-178.2,162.9,123,-996,3050.4,31.71,8.53,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5272,NA,6063,"91084","","",37.0223,-107.2738,0,"jamesii","jamesii","tuberous","wild",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",7.45000000000004,15,0.367,9.309,28.65,-12.25,40.9,470,58.6,19,26,6.6,-58.6,-148.3,154.9,133,-705,2008.4,35.36,7.02,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5273,NA,6064,"558089","","",33.894195,-108.379143,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.45000000000004,13.5,0.424,7.145,26.15,-5.54999999999996,31.7,381,85.3,13.9,72.7,-14.9,-68.7,-145.8,130.9,120,-826,2108.9,40.91,12.48,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5274,NA,6065,"651529","","",32.292067,-104.3157,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",17.85,13.7,0.416,7.594,34.65,1.75000000000004,32.9,380,64.1,11,58.1,-39.7,-97.9,-151.4,111.7,85,-1175,4711.7,31.7,4.4,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5277,NA,6068,"PI 564048","","",32.483333,-108.516667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",13.85,12.5,0.393,7.449,30.15,-1.74999999999996,31.9,428,83.1,10.9,62.7,-8.2,-82.7,-176.4,168.2,140,-993,3333.7,31.38,8.98,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5279,NA,6070,"PI 564050","","",33.683333,-108.85,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",11.25,13.9,0.443,6.908,27.95,-3.44999999999996,31.4,424,81.7,15.2,57.4,0.8,-62.4,-149.2,150,143,-750,2519.1,39.05,15.38,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5281,NA,6072,"PI 564054","","",34.133333,-108.466667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.65000000000004,13,0.405,7.439,25.65,-6.54999999999996,32.2,442,99.2,17.2,73.1,-10.9,-60.9,-139.4,128.5,144,-734,1975,45.41,13.06,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5284,NA,6075,"PI 564057","","",32,-109.366667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",15.25,13.3,0.422,6.942,31.55,-0.0499999999999621,31.6,507,109,11.5,73.4,-1.8,-68.5,-158.1,156.2,146,-826,3745.9,34.92,11.85,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5287,NA,6078,"PI 585116","","",35.2,-107.733333,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.35000000000004,13.3,0.378,8.216,26.45,-8.64999999999996,35.1,280,61.8,13,64.5,-14.2,-71,-147.3,133.1,90,-854,2020.3,43.59,9.04,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5290,NA,6081,"PI 585119","","",37.15,-108.516667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.25000000000004,13.8,0.348,9.437,30.05,-9.54999999999996,39.6,378,43.9,11.2,25.9,-4.1,-73.6,-171.7,167.6,124,-888,2409.6,37.56,6.21,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5292,NA,6083,"PI 592398","","",34.283333,-105.616667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.75,12.1,0.386,7.564,27.35,-4.04999999999996,31.4,388,75.7,14.8,60.9,-19.6,-75.1,-139.9,120.4,114,-899,2511.3,40.1,9.26,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5293,NA,6084,"PI 592399","","",34.133333,-105.716667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.95,12.2,0.386,7.577,27.45,-4.04999999999996,31.5,384,73.3,16.4,58.8,-26.2,-86.7,-159.7,133.5,115,-1036,2544.3,38.37,7.94,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5298,NA,6089,"PI 592417","","",33.766667,-108.7,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.95,13.9,0.443,6.908,27.75,-3.54999999999996,31.3,385,76.8,15.1,60.1,-4.8,-62.8,-142.3,137.5,132,-755,2452.4,38.36,14.37,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5302,NA,6093,"PI 592422","","",34.733333,-107.966667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.95000000000004,12.8,0.383,7.92,27.05,-6.34999999999996,33.4,326,65.7,13.9,60,-12.6,-67.9,-142.9,130.3,108,-817,2359.4,42.37,11.22,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5303,NA,6094,"PI 592423","","",34.933333,-111.45,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.55000000000004,11.7,0.363,7.737,27.05,-5.04999999999996,32.1,576,81.9,11,40,10.8,-69.8,-194.4,205.2,197,-851,2217.2,45.42,13.21,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5304,NA,6095,"PI 595775","","",32.910278,-107.761944,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.35000000000004,12.6,0.404,7.088,25.75,-5.34999999999996,31.1,577,119.4,17.1,69.6,-6.1,-63.3,-145.9,139.8,179,-761,2080.4,43.88,13.95,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5308,NA,6099,"PI 595782","","",31.9925,-104.834167,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",12.25,12.7,0.402,7.371,28.35,-3.24999999999996,31.6,421,78.8,14,68.1,-14.3,-63.7,-128.2,113.9,117,-768,2881.2,38.59,9.39,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5309,NA,6100,"PI 595783","","",35.083333,-105.7,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.75000000000004,12.4,0.377,7.958,27.05,-5.74999999999996,32.8,457,83.3,18,52.5,-19.5,-71.2,-136.5,117,145,-857,2298.8,38.46,6.87,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5310,NA,6101,"PI 595784","","",35.616667,-105.683333,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.25000000000004,11.7,0.373,7.478,25.05,-6.34999999999996,31.4,544,97.3,21,53.5,0.5,-49.3,-108.3,108.8,171,-593,1883.4,44.83,10.98,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5311,NA,6102,"PI 595786","","",37.133333,-104.666667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.85000000000004,14.2,0.416,7.737,27.55,-6.44999999999996,34,465,78.9,14.7,51.6,-16.8,-60.5,-112.8,96.1,142,-728,2054.1,43.22,8.7,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5312,NA,6103,"PI 603051","","",37.778056,-111.6275,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.35,12.4,0.345,8.874,29.75,-6.34999999999996,36.1,212,29.8,7.8,36.5,-15,-80.3,-161.7,146.6,90,-967,2572.7,42.09,8.32,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5314,NA,6105,"PI 603055","","",36.026389,-107.869722,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",11.45,12.6,0.35,8.727,30.25,-5.64999999999996,35.9,254,41.5,13.2,43.4,-18.7,-88.4,-173.1,154.4,75,-1063,2827.4,31.98,5.69,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5319,NA,6110,"PI 605362","","",35.574444,-105.855,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.75000000000004,12.1,0.36,8.133,26.45,-7.04999999999996,33.5,454,79.9,21.3,51.1,-2.1,-53.6,-116.2,114.1,145,-646,2097.8,40.79,8.28,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5321,NA,6112,"PI 605366","","",34.949167,-107.831667,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.55,13.5,0.388,8.162,28.25,-6.44999999999996,34.7,256,53.8,12.6,60.8,-20.7,-81.8,-158.3,137.6,69,-982,2523.8,39.51,8.22,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5323,NA,6114,"PI 605369","","",34.79,-106.377778,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",8.85000000000004,13,0.387,7.979,26.55,-7.04999999999996,33.6,549,102.8,22.4,56.9,4.4,-47.4,-119.1,123.5,168,-570,2094.5,40.59,7.23,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5324,NA,6115,"PI 605370","","",36.8325,-104.909722,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",7.15000000000004,14.1,0.427,7.399,25.15,-7.84999999999996,33,456,84.9,13.9,59.5,-17.9,-52.7,-95.2,77.3,134,-636,1646.2,45.77,10.94,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5325,NA,6116,"PI 605371","","",36.152778,-109.435278,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",11.55,12.5,0.352,8.734,30.25,-5.34999999999996,35.6,266,40.8,9.4,40,-15.3,-85.7,-178.4,163.1,98,-1032,2859.7,36.75,7.61,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5326,NA,6117,"PI 605372","","",36.647778,-110.436944,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",11.65,11.4,0.326,8.799,30.35,-4.74999999999996,35.1,283,44.6,7.4,38.9,-8.8,-79.2,-172.9,164.2,111,-953,2868.7,38.62,8.48,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5336,NA,6127,"PI 634362","","",35.23,-111.580833,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",9.85000000000004,12,0.371,7.652,27.35,-4.84999999999996,32.2,570,86.6,11.5,42.8,7.2,-68.3,-184.5,191.7,197,-830,2277.2,41.25,12.93,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,5337,NA,6128,"PI 634363","","",36.005833,-111.803889,NA,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","","",1.42,"FCM","Petota","1+2",10.05,13.3,0.372,8.541,29.25,-6.54999999999996,35.8,406,71.2,10.1,44.5,0.9,-65.4,-157.9,158.8,134,-789,2448.6,38.17,9.78,0.71,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,150
NA,6500,NA,7417,"CIP 763291","","",-13.4658,-72.6197,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",10.45,8.4,0.724,0.854,15.85,4.25000000000004,11.6,1636,336.2,18.9,80.1,175.1,26.9,-46.2,221.3,365,-41,1978.6,64.51,22.89,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6501,NA,7418,"CIP 761786","","",-13.1761,-72.5511,2123,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",15.05,7.7,0.751,0.727,19.85,9.65000000000004,10.2,1080,201.3,16.9,72.3,106.4,-8.6,-73.8,180.3,360,-218,3676,70.82,20.62,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6505,NA,7422,"CIP 761013","","",-14.4361,-72.5228,3250,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",2.65000000000004,11.1,0.742,1.044,9.55000000000004,-5.34999999999996,14.9,1502,355.9,8.8,95.9,244.5,27.5,-66.7,311.1,329,-205,NA,61.43,21.9,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6507,NA,7424,"CIP 765893","","",-13.2142,-72.3006,2921,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",10.35,7.7,0.736,0.817,15.45,4.95000000000004,10.5,1349,255.8,16.3,77.3,128.1,14.8,-51.7,179.7,365,-62,1932.9,76.04,21.82,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6512,NA,7429,"CIP 761127","","",-13.4878,-72.1606,3460,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",10.25,8.6,0.728,0.748,15.85,4.05000000000004,11.8,967,207.3,8.7,87,99.2,-21.7,-86.8,186,348,-350,1899.9,58.52,20.72,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6520,NA,7437,"CIP 761794","","",-13.2942,-72.0733,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",7.95000000000004,7.9,0.734,0.777,13.25,2.45000000000004,10.8,1278,263.1,14,82.4,128.3,4.3,-57.4,185.7,365,-137,1090.6,72.7,22.15,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6522,NA,7439,"CIP 761640","","",-13.4917,-71.9881,2966,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",8.25000000000004,8.8,0.718,0.791,14.15,1.95000000000004,12.2,1134,254.5,9.5,89.4,125.9,-10.9,-77,202.9,365,-274,1182.2,65.48,20.82,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
NA,6535,NA,7452,"CIP 761990","","",-13.2658,-71.9236,3418,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","","",1.72,"FCM","Petota","4 North",8.35000000000004,7.7,0.731,0.815,13.45,2.95000000000004,10.5,1476,313.6,19,81.4,185.5,26.3,-51.3,236.8,365,-54,1230.5,77.4,15.03,0.86,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,41
