"SP1","niche.bio1me","niche.bio2me","niche.bio4me","niche.bio12me","niche.bio15me","Specimens","breadth","logbreadth","sqrbreadth","mean.bio1","mean.bio2","mean.bio4","mean.bio12","mean.bio15","subClade","PClade","genomeSize","genomeSizeMethod","Ploidy","gsMono"
"tabanoense",0.343800586510263,0.159924855491329,0.0632389786347056,0.224058007566204,0.218966863033873,14,1.00998929123638,0.009939728060697,1.00498223428893,14.1785714285714,7.57857142857143,0.481428571428571,2269.5,37.9642857142857,"Basarthrum","",2.31,"LocoGSE","Diploid",1.155
"taeniotrichum",0.422287390029324,0.121387283236994,0.0294945284002084,0.165720891130727,0.151693667157585,7,0.890583759954839,-0.115878121209324,0.943707454646215,13.4071428571429,7.14285714285714,0.602857142857143,4596.57142857143,44.4857142857143,"Articulatum","",2.3,"LocoGSE","Diploid",1.15
"tarnii",0.237536656891496,0.213872832369942,0.0604481500781657,0.0766078184110971,0.117820324005891,6,0.706285781756592,-0.347735333370773,0.840408104290167,16.3833333333333,10.75,2.44966666666667,770.5,76.3166666666667,"Petota","1+2",1.47,"FCM","Diploid",0.735
"ternatum",0.531120234604104,0.208034682080925,0.135166128191767,0.42694115174443,0.388156111929308,56,1.68941830855053,0.524384273561956,1.29977625326459,16.1946428571429,7.62857142857143,0.648482142857143,2474.26785714286,48.7017857142857,"Pteroidea","",2.52,"LocoGSE","Diploid",1.26
"trachycarpum",0.375366568914955,0.225433526011561,0.0590932777488275,0.434216057166877,0.491899852724595,4,1.58600928256682,0.461220976011932,1.25936860472493,16.2,9.125,0.54575,2110,49.925,"Basarthrum","",2.3,"FCM","Diploid",1.15
"trifidum",0.340310850439882,0.111416184971098,0.0755514330380406,0.095411937788987,0.110039764359352,14,0.73273017059736,-0.310977761378106,0.855996594968321,16.0785714285714,12.3642857142857,1.86814285714286,1200.5,102.735714285714,"Petota","1+2",1.47,"FCM","Diploid",0.735
"trifolium",0.108504398826978,0.00578034682080923,0.00635747785304846,0.026691887347625,0.0213549337260677,3,0.168689044574529,-1.77969823182032,0.410717718846568,9.95000000000001,6.56666666666667,0.476666666666667,2414,72.7,"Herpystichum","",2.3,"LocoGSE","Diploid",1.15
"trinominum",0.16715542521994,0.439306358381503,0.34048983845753,0.0504413619167718,0.431516936671576,9,1.42890992064732,0.356911860324953,1.19537020234207,14.2166666666667,6.45555555555556,2.449,224.555555555556,114.711111111111,"Regmandra","",2.04,"LocoGSE","Diploid",1.02
"trizygum",0.332304985337243,0.360815028901734,0.161798540906722,0.373488440521227,0.344576583210604,20,1.57298357887753,0.452974184655808,1.25418642110235,19.11,6.685,0.83525,3345.7,54.64,"Pteroidea","",2.41,"LocoGSE","Diploid",1.205
"venturii",0.559079178885629,0.30114450867052,0.219453673788431,0.157879781420765,0.293273932253314,26,1.53083107501866,0.42581077421878,1.23726758424306,11.8884615384616,10.3884615384615,3.32069230769231,1019.11538461538,98.4576923076923,"Petota","4 South",1.7,"FCM","Diploid",0.85
