"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,66,NA,66,"CIP 760772","","",-11.7758,-75.4967,3373,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,67,NA,67,"CIP 761522","","",-12.7878,-74.9733,3681,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,68,NA,68,"CIP 765781","","",-13.4083,-74.9388,4077,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,70,NA,70,"CIP 761537","","",-13.4703,-74.8625,3810,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,71,NA,71,"CIP 761525","","",-13.1033,-74.7381,4100,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,72,NA,72,"CIP 761536","","",-13.3686,-74.6992,4736,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,73,NA,73,"CIP 764211","","",-9.1723,-74.3568,NA,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,74,NA,74,"CIP 761024","","",-14.4872,-74.3044,4000,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,79,NA,79,"CIP 761158","","",-14.6217,-74.2336,3291,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,80,NA,80,"CIP 763414","","",-13.3694,-74.1914,3724,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,81,NA,81,"CIP 761149","","",-13.3694,-74.1656,3900,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,84,NA,84,"CIP 761826","","",-14.6908,-74.1258,3242,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,91,NA,91,"CIP 765785","","",-13.353,-74.103,4208,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,92,NA,92,"CIP 761823","","",-14.2333,-74.0414,3178,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,93,NA,93,"CIP 761821","","",-14.6753,-74.0169,4200,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,99,NA,99,"CIP 762035","","",-14.2922,-73.9678,3307,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,100,NA,100,"CIP 761824","","",-13.5278,-73.8181,2235,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,103,NA,103,"CIP 761143","","",-15.2819,-73.5978,3400,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,106,NA,106,"CIP 764243","","",-14.5461,-73.5278,NA,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,107,NA,107,"CIP 761139","","",-14.2961,-73.4786,3820,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,108,NA,108,"CIP 761142","","",-13.7906,-73.4719,3890,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,109,NA,109,"CIP 764209","","",-14.2233,-73.0153,NA,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,110,NA,110,"CIP 760008","","",-13.5011,-72.8972,3051,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,111,NA,111,"CIP 765882","","",-13.94,-72.7897,4251,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
